times,seller_id,revenue,unit_sold,total_order,cost,total_usage,total_buyer,coupon_code,coupon_name,coupon_id,active_from,active_to,coupon_type,total_coupon,coupon_status
2021-07-21T00:00:00,875,64853,5,1,93720,5,1,F7SEBFNAAO,"Netherlands: UB Egyptian curriculum influenced other Arab education systems, which often need to re-calculate",732746,2021-07-13,2021-07-28,1,468,0
2021-07-21T00:00:00,22441,492911,11,2,48829,5,2,F7SEBFNAAO,"Netherlands: UB Egyptian curriculum influenced other Arab education systems, which often need to re-calculate",732746,2021-07-13,2021-07-28,1,468,0
2021-07-21T00:00:00,1,509581,19,1,64786,2,1,267WWIH3UR,"Integrated economically flamingo, which",751601,2021-07-09,2021-07-29,3,301,0
2021-07-21T00:00:00,875,567792,7,2,40550,2,2,267WWIH3UR,"Integrated economically flamingo, which",751601,2021-07-09,2021-07-29,3,301,0
2021-07-21T00:00:00,22441,368433,5,3,60711,8,2,267WWIH3UR,"Integrated economically flamingo, which",751601,2021-07-09,2021-07-29,3,301,0
2021-07-21T00:00:00,1,15135,18,2,33178,2,1,AFGBF2IF3V,"Bigpoint, Gameforge, produce these forecasts an extensive",833725,2021-07-17,2021-07-22,2,433,0
2021-07-21T00:00:00,875,403045,5,2,55317,4,1,AFGBF2IF3V,"Bigpoint, Gameforge, produce these forecasts an extensive",833725,2021-07-17,2021-07-22,2,433,0
2021-07-21T00:00:00,22441,280825,4,4,79363,4,3,AFGBF2IF3V,"Bigpoint, Gameforge, produce these forecasts an extensive",833725,2021-07-17,2021-07-22,2,433,0
2021-07-21T00:00:00,1,252155,8,6,69616,9,5,N5KGHAGSNB,"The practitioner. Mireille Mathieu, Mylène Farmer and Nolwenn Leroy, electronic music in Canada are formally",928678,2021-07-02,2021-07-25,1,112,0
2021-07-21T00:00:00,875,195898,12,2,63339,4,2,N5KGHAGSNB,"The practitioner. Mireille Mathieu, Mylène Farmer and Nolwenn Leroy, electronic music in Canada are formally",928678,2021-07-02,2021-07-25,1,112,0
2021-07-21T00:00:00,22441,87174,17,7,91077,9,7,N5KGHAGSNB,"The practitioner. Mireille Mathieu, Mylène Farmer and Nolwenn Leroy, electronic music in Canada are formally",928678,2021-07-02,2021-07-25,1,112,0
2021-07-21T00:00:00,1,445365,2,5,21637,8,3,68ANOUYWWD,Layers of Laser medicine involves the taking of measurements,936904,2021-07-21,2021-07-22,1,43,0
2021-07-21T00:00:00,875,365210,13,3,51828,4,3,68ANOUYWWD,Layers of Laser medicine involves the taking of measurements,936904,2021-07-21,2021-07-22,1,43,0
2021-07-21T00:00:00,22441,379441,3,1,82316,1,1,68ANOUYWWD,Layers of Laser medicine involves the taking of measurements,936904,2021-07-21,2021-07-22,1,43,0
2021-07-21T00:00:00,1,162016,18,7,74109,8,7,5SB2OOVZGA,"Without conscious Peugeot, Citroen, Honda, Mitsubishi.",945492,2021-07-02,2021-07-26,2,305,0
2021-07-21T00:00:00,875,190151,19,3,10994,3,2,5SB2OOVZGA,"Without conscious Peugeot, Citroen, Honda, Mitsubishi.",945492,2021-07-02,2021-07-26,2,305,0
2021-07-21T00:00:00,22441,81283,7,4,87224,4,2,5SB2OOVZGA,"Without conscious Peugeot, Citroen, Honda, Mitsubishi.",945492,2021-07-02,2021-07-26,2,305,0
2021-07-21T00:00:00,1,424143,18,1,67411,1,1,5EBB0SPSA3,Finding something degree and were followed by the 13th,1018834,2021-07-12,2021-08-03,1,272,0
2021-07-21T00:00:00,875,164142,12,3,21845,3,1,5EBB0SPSA3,Finding something degree and were followed by the 13th,1018834,2021-07-12,2021-08-03,1,272,0
2021-07-21T00:00:00,22441,178461,16,1,37798,3,1,5EBB0SPSA3,Finding something degree and were followed by the 13th,1018834,2021-07-12,2021-08-03,1,272,0
2021-07-21T00:00:00,1,587633,6,1,21367,3,1,PA2JPW5IMB,"Only closer East Francia. Further south, the first smallpox epidemic in the name",1142726,2021-07-20,2021-08-12,3,224,0
2021-07-21T00:00:00,875,468958,1,1,18370,9,1,PA2JPW5IMB,"Only closer East Francia. Further south, the first smallpox epidemic in the name",1142726,2021-07-20,2021-08-12,3,224,0
2021-07-21T00:00:00,22441,349859,14,5,81350,6,1,PA2JPW5IMB,"Only closer East Francia. Further south, the first smallpox epidemic in the name",1142726,2021-07-20,2021-08-12,3,224,0
2021-07-21T00:00:00,1,225696,8,3,61411,7,1,H2BOWZNXXG,"The press; Yorkers, and leading to rival broadcasters bidding large amounts",1268120,2021-07-07,2021-08-04,1,117,0
2021-07-21T00:00:00,875,99105,9,3,79895,4,2,H2BOWZNXXG,"The press; Yorkers, and leading to rival broadcasters bidding large amounts",1268120,2021-07-07,2021-08-04,1,117,0
2021-07-21T00:00:00,22441,135223,6,2,19409,3,2,H2BOWZNXXG,"The press; Yorkers, and leading to rival broadcasters bidding large amounts",1268120,2021-07-07,2021-08-04,1,117,0
2021-07-21T00:00:00,1,519034,8,1,59793,3,1,I2AN4UO2O2,"Famous 'Babe', national dish?",1527196,2021-07-14,2021-08-02,2,196,0
2021-07-21T00:00:00,875,397862,2,1,20484,1,1,I2AN4UO2O2,"Famous 'Babe', national dish?",1527196,2021-07-14,2021-08-02,2,196,0
2021-07-21T00:00:00,22441,349907,16,2,48893,7,2,I2AN4UO2O2,"Famous 'Babe', national dish?",1527196,2021-07-14,2021-08-02,2,196,0
2021-07-21T00:00:00,1,213632,6,3,94303,7,3,57CAQL403X,Article 2 precise and finite definition. By,1617788,2021-07-20,2021-08-08,2,260,0
2021-07-21T00:00:00,875,413544,17,2,26888,5,1,57CAQL403X,Article 2 precise and finite definition. By,1617788,2021-07-20,2021-08-08,2,260,0
2021-07-21T00:00:00,22441,117428,17,4,57468,6,2,57CAQL403X,Article 2 precise and finite definition. By,1617788,2021-07-20,2021-08-08,2,260,0
2021-07-21T00:00:00,1,265014,15,5,86063,9,5,6EGOYE6S8R,"Mourning cloak, do almost all of the structure. Synchrocyclotrons have not",1650391,2021-07-14,2021-08-08,3,430,0
2021-07-21T00:00:00,875,361930,14,3,19079,9,2,6EGOYE6S8R,"Mourning cloak, do almost all of the structure. Synchrocyclotrons have not",1650391,2021-07-14,2021-08-08,3,430,0
2021-07-21T00:00:00,22441,332311,6,1,47065,3,1,6EGOYE6S8R,"Mourning cloak, do almost all of the structure. Synchrocyclotrons have not",1650391,2021-07-14,2021-08-08,3,430,0
2021-07-21T00:00:00,1,442364,5,1,70677,1,1,PNPCGKB6T1,"Of chemically Education, American Osteopathic Association, American Dental Association, Academy",1687164,2021-07-08,2021-08-05,1,86,0
2021-07-21T00:00:00,875,58861,17,2,93783,7,2,PNPCGKB6T1,"Of chemically Education, American Osteopathic Association, American Dental Association, Academy",1687164,2021-07-08,2021-08-05,1,86,0
2021-07-21T00:00:00,22441,219166,7,2,63560,7,1,PNPCGKB6T1,"Of chemically Education, American Osteopathic Association, American Dental Association, Academy",1687164,2021-07-08,2021-08-05,1,86,0
2021-07-21T00:00:00,1,391703,7,7,72197,7,1,C94ZKHI1DE,"Below) with understood, a 2006 study by Phoenix",2173920,2021-07-06,2021-07-28,2,225,0
2021-07-21T00:00:00,875,434786,6,4,98022,4,1,C94ZKHI1DE,"Below) with understood, a 2006 study by Phoenix",2173920,2021-07-06,2021-07-28,2,225,0
2021-07-21T00:00:00,22441,274785,9,1,59055,2,1,C94ZKHI1DE,"Below) with understood, a 2006 study by Phoenix",2173920,2021-07-06,2021-07-28,2,225,0
2021-07-21T00:00:00,1,388485,13,9,18384,9,5,42V4U39JUS,"Upon increasingly Publishing Group, Westport, Ct. ISBN 0-275-92698-2.",2445259,2021-07-19,2021-07-31,1,201,0
2021-07-21T00:00:00,875,561208,16,3,58869,8,1,42V4U39JUS,"Upon increasingly Publishing Group, Westport, Ct. ISBN 0-275-92698-2.",2445259,2021-07-19,2021-07-31,1,201,0
2021-07-21T00:00:00,22441,149124,11,4,36883,8,4,42V4U39JUS,"Upon increasingly Publishing Group, Westport, Ct. ISBN 0-275-92698-2.",2445259,2021-07-19,2021-07-31,1,201,0
2021-07-21T00:00:00,1,13374,10,1,68939,2,1,V427FACWHI,Compounds without dictatorship in 1933 led to the,2632071,2021-07-19,2021-08-08,1,420,0
2021-07-21T00:00:00,875,50806,1,2,93213,4,1,V427FACWHI,Compounds without dictatorship in 1933 led to the,2632071,2021-07-19,2021-08-08,1,420,0
2021-07-21T00:00:00,22441,26959,13,1,32690,6,1,V427FACWHI,Compounds without dictatorship in 1933 led to the,2632071,2021-07-19,2021-08-08,1,420,0
2021-07-21T00:00:00,1,241702,17,1,99217,3,1,Y5SE4U1NJ2,"Affect throughput, the peoples of this water is represented by teams",2799141,2021-07-14,2021-07-21,3,208,0
2021-07-21T00:00:00,875,380534,9,1,71468,3,1,Y5SE4U1NJ2,"Affect throughput, the peoples of this water is represented by teams",2799141,2021-07-14,2021-07-21,3,208,0
2021-07-21T00:00:00,22441,223973,7,8,78332,8,3,Y5SE4U1NJ2,"Affect throughput, the peoples of this water is represented by teams",2799141,2021-07-14,2021-07-21,3,208,0
2021-07-21T00:00:00,1,420349,2,1,52156,5,1,R44XHCWA45,"2012. Previously, of use of email and instant messaging clients such as the mean and",2875526,2021-07-10,2021-07-31,2,360,0
2021-07-21T00:00:00,875,558406,15,1,82815,1,1,R44XHCWA45,"2012. Previously, of use of email and instant messaging clients such as the mean and",2875526,2021-07-10,2021-07-31,2,360,0
2021-07-21T00:00:00,22441,402967,4,1,56227,8,1,R44XHCWA45,"2012. Previously, of use of email and instant messaging clients such as the mean and",2875526,2021-07-10,2021-07-31,2,360,0
2021-07-21T00:00:00,1,581787,6,6,61036,6,4,A2ZP9SSHLU,"0-7637-8927-5. Dunlop, Black if socially upward. Skin color and facial",3122458,2021-07-15,2021-08-09,2,409,0
2021-07-21T00:00:00,875,266327,1,6,95780,9,5,A2ZP9SSHLU,"0-7637-8927-5. Dunlop, Black if socially upward. Skin color and facial",3122458,2021-07-15,2021-08-09,2,409,0
2021-07-21T00:00:00,22441,62273,5,2,16081,9,2,A2ZP9SSHLU,"0-7637-8927-5. Dunlop, Black if socially upward. Skin color and facial",3122458,2021-07-15,2021-08-09,2,409,0
2021-07-21T00:00:00,1,339597,9,6,99603,9,2,8C9RAB2MQU,Newspaper still region generally,3141181,2021-07-01,2021-07-22,3,252,0
2021-07-21T00:00:00,875,570221,19,7,83118,8,6,8C9RAB2MQU,Newspaper still region generally,3141181,2021-07-01,2021-07-22,3,252,0
2021-07-21T00:00:00,22441,430763,18,3,77167,4,2,8C9RAB2MQU,Newspaper still region generally,3141181,2021-07-01,2021-07-22,3,252,0
2021-07-21T00:00:00,1,255637,5,3,29103,7,3,1YMCLTWGS7,Of 1988 local polities.,3283953,2021-07-12,2021-07-28,3,344,0
2021-07-21T00:00:00,875,383404,4,1,13341,2,1,1YMCLTWGS7,Of 1988 local polities.,3283953,2021-07-12,2021-07-28,3,344,0
2021-07-21T00:00:00,22441,463137,9,1,56326,4,1,1YMCLTWGS7,Of 1988 local polities.,3283953,2021-07-12,2021-07-28,3,344,0
2021-07-21T00:00:00,1,80554,15,3,73695,3,1,XTLD5VLRB8,"Travelers are modernist art."" In Soweto, the West African and Eurasian plates.",3432303,2021-07-14,2021-07-25,1,248,0
2021-07-21T00:00:00,875,272190,7,5,61955,5,4,XTLD5VLRB8,"Travelers are modernist art."" In Soweto, the West African and Eurasian plates.",3432303,2021-07-14,2021-07-25,1,248,0
2021-07-21T00:00:00,22441,364075,2,4,96098,6,2,XTLD5VLRB8,"Travelers are modernist art."" In Soweto, the West African and Eurasian plates.",3432303,2021-07-14,2021-07-25,1,248,0
2021-07-21T00:00:00,1,319283,4,3,16665,7,2,FHHK24X4OZ,"Province (6,959 historiography collapsed overnight.    In 1497 John Cabot",3596847,2021-07-18,2021-07-26,1,92,0
2021-07-21T00:00:00,875,583869,6,5,72248,6,5,FHHK24X4OZ,"Province (6,959 historiography collapsed overnight.    In 1497 John Cabot",3596847,2021-07-18,2021-07-26,1,92,0
2021-07-21T00:00:00,22441,362092,12,1,26163,3,1,FHHK24X4OZ,"Province (6,959 historiography collapsed overnight.    In 1497 John Cabot",3596847,2021-07-18,2021-07-26,1,92,0
2021-07-21T00:00:00,1,81323,16,3,62413,4,3,EY5YOUXXFS,Small community Hemispheres generally mirror,3628626,2021-07-15,2021-07-31,2,281,0
2021-07-21T00:00:00,875,456999,7,1,59274,3,1,EY5YOUXXFS,Small community Hemispheres generally mirror,3628626,2021-07-15,2021-07-31,2,281,0
2021-07-21T00:00:00,22441,189944,9,5,47709,6,5,EY5YOUXXFS,Small community Hemispheres generally mirror,3628626,2021-07-15,2021-07-31,2,281,0
2021-07-22T00:00:00,1,2576,10,1,16561,1,1,HMY7PIWLG9,"$62,195. Males known compound that arise from the Arabian",181417,2021-07-04,2021-07-23,1,171,0
2021-07-22T00:00:00,875,202763,15,4,18565,4,2,HMY7PIWLG9,"$62,195. Males known compound that arise from the Arabian",181417,2021-07-04,2021-07-23,1,171,0
2021-07-22T00:00:00,22441,245420,4,1,32918,5,1,HMY7PIWLG9,"$62,195. Males known compound that arise from the Arabian",181417,2021-07-04,2021-07-23,1,171,0
2021-07-22T00:00:00,1,419830,15,2,85671,2,1,Y5PJEZ5M5S,Sunlight cannot scientists began to cater for richer clients in the quest to turn,320577,2021-07-18,2021-07-24,1,69,0
2021-07-22T00:00:00,875,353636,19,3,57146,5,1,Y5PJEZ5M5S,Sunlight cannot scientists began to cater for richer clients in the quest to turn,320577,2021-07-18,2021-07-24,1,69,0
2021-07-22T00:00:00,22441,452547,11,7,29341,7,1,Y5PJEZ5M5S,Sunlight cannot scientists began to cater for richer clients in the quest to turn,320577,2021-07-18,2021-07-24,1,69,0
2021-07-22T00:00:00,1,544506,10,1,49701,2,1,CFS6DT6L4D,"Time, concerns airport, handling",657443,2021-07-16,2021-07-29,1,351,0
2021-07-22T00:00:00,875,442227,3,1,20729,1,1,CFS6DT6L4D,"Time, concerns airport, handling",657443,2021-07-16,2021-07-29,1,351,0
2021-07-22T00:00:00,22441,251017,16,6,40370,7,2,CFS6DT6L4D,"Time, concerns airport, handling",657443,2021-07-16,2021-07-29,1,351,0
2021-07-22T00:00:00,1,169392,1,1,63777,2,1,F7SEBFNAAO,"Netherlands: UB Egyptian curriculum influenced other Arab education systems, which often need to re-calculate",732746,2021-07-13,2021-07-28,1,468,0
2021-07-22T00:00:00,875,43678,15,5,47683,7,5,F7SEBFNAAO,"Netherlands: UB Egyptian curriculum influenced other Arab education systems, which often need to re-calculate",732746,2021-07-13,2021-07-28,1,468,0
2021-07-22T00:00:00,22441,274847,2,7,82194,8,1,F7SEBFNAAO,"Netherlands: UB Egyptian curriculum influenced other Arab education systems, which often need to re-calculate",732746,2021-07-13,2021-07-28,1,468,0
2021-07-22T00:00:00,1,244520,12,1,66384,8,1,267WWIH3UR,"Integrated economically flamingo, which",751601,2021-07-09,2021-07-29,3,301,0
2021-07-22T00:00:00,875,62153,4,1,23886,1,1,267WWIH3UR,"Integrated economically flamingo, which",751601,2021-07-09,2021-07-29,3,301,0
2021-07-22T00:00:00,22441,486823,16,6,65557,6,4,267WWIH3UR,"Integrated economically flamingo, which",751601,2021-07-09,2021-07-29,3,301,0
2021-07-22T00:00:00,1,582820,14,3,55847,4,2,AFGBF2IF3V,"Bigpoint, Gameforge, produce these forecasts an extensive",833725,2021-07-17,2021-07-22,2,433,0
2021-07-22T00:00:00,875,145139,9,2,31160,2,2,AFGBF2IF3V,"Bigpoint, Gameforge, produce these forecasts an extensive",833725,2021-07-17,2021-07-22,2,433,0
2021-07-22T00:00:00,22441,590631,17,1,43764,2,1,AFGBF2IF3V,"Bigpoint, Gameforge, produce these forecasts an extensive",833725,2021-07-17,2021-07-22,2,433,0
2021-07-22T00:00:00,1,199637,2,2,50534,4,2,N5KGHAGSNB,"The practitioner. Mireille Mathieu, Mylène Farmer and Nolwenn Leroy, electronic music in Canada are formally",928678,2021-07-02,2021-07-25,1,112,0
2021-07-22T00:00:00,875,204151,3,2,54765,8,2,N5KGHAGSNB,"The practitioner. Mireille Mathieu, Mylène Farmer and Nolwenn Leroy, electronic music in Canada are formally",928678,2021-07-02,2021-07-25,1,112,0
2021-07-22T00:00:00,22441,58395,5,4,64058,8,3,N5KGHAGSNB,"The practitioner. Mireille Mathieu, Mylène Farmer and Nolwenn Leroy, electronic music in Canada are formally",928678,2021-07-02,2021-07-25,1,112,0
2021-07-22T00:00:00,1,289626,16,2,68124,8,2,68ANOUYWWD,Layers of Laser medicine involves the taking of measurements,936904,2021-07-21,2021-07-22,1,43,0
2021-07-22T00:00:00,875,560414,17,1,46000,2,1,68ANOUYWWD,Layers of Laser medicine involves the taking of measurements,936904,2021-07-21,2021-07-22,1,43,0
2021-07-22T00:00:00,1,92167,6,5,90165,8,1,5SB2OOVZGA,"Without conscious Peugeot, Citroen, Honda, Mitsubishi.",945492,2021-07-02,2021-07-26,2,305,0
2021-07-22T00:00:00,875,106256,4,2,58077,5,1,5SB2OOVZGA,"Without conscious Peugeot, Citroen, Honda, Mitsubishi.",945492,2021-07-02,2021-07-26,2,305,0
2021-07-22T00:00:00,22441,402478,9,1,33461,1,1,5SB2OOVZGA,"Without conscious Peugeot, Citroen, Honda, Mitsubishi.",945492,2021-07-02,2021-07-26,2,305,0
2021-07-22T00:00:00,1,336298,19,1,21106,1,1,5EBB0SPSA3,Finding something degree and were followed by the 13th,1018834,2021-07-12,2021-08-03,1,272,0
2021-07-22T00:00:00,875,277374,3,5,63693,6,5,5EBB0SPSA3,Finding something degree and were followed by the 13th,1018834,2021-07-12,2021-08-03,1,272,0
2021-07-22T00:00:00,22441,343104,17,1,68884,6,1,5EBB0SPSA3,Finding something degree and were followed by the 13th,1018834,2021-07-12,2021-08-03,1,272,0
2021-07-22T00:00:00,1,560130,10,3,56482,4,2,PA2JPW5IMB,"Only closer East Francia. Further south, the first smallpox epidemic in the name",1142726,2021-07-20,2021-08-12,3,224,0
2021-07-22T00:00:00,875,480153,15,1,99883,5,1,PA2JPW5IMB,"Only closer East Francia. Further south, the first smallpox epidemic in the name",1142726,2021-07-20,2021-08-12,3,224,0
2021-07-22T00:00:00,22441,591948,17,8,55788,9,7,PA2JPW5IMB,"Only closer East Francia. Further south, the first smallpox epidemic in the name",1142726,2021-07-20,2021-08-12,3,224,0
2021-07-22T00:00:00,1,547626,4,1,52239,6,1,H2BOWZNXXG,"The press; Yorkers, and leading to rival broadcasters bidding large amounts",1268120,2021-07-07,2021-08-04,1,117,0
2021-07-22T00:00:00,875,39316,2,2,80336,4,1,H2BOWZNXXG,"The press; Yorkers, and leading to rival broadcasters bidding large amounts",1268120,2021-07-07,2021-08-04,1,117,0
2021-07-22T00:00:00,22441,192213,18,3,56612,3,2,H2BOWZNXXG,"The press; Yorkers, and leading to rival broadcasters bidding large amounts",1268120,2021-07-07,2021-08-04,1,117,0
2021-07-22T00:00:00,1,309836,6,8,65858,9,2,I2AN4UO2O2,"Famous 'Babe', national dish?",1527196,2021-07-14,2021-08-02,2,196,0
2021-07-22T00:00:00,875,30024,15,2,42757,3,2,I2AN4UO2O2,"Famous 'Babe', national dish?",1527196,2021-07-14,2021-08-02,2,196,0
2021-07-22T00:00:00,22441,75348,13,1,61137,1,1,I2AN4UO2O2,"Famous 'Babe', national dish?",1527196,2021-07-14,2021-08-02,2,196,0
2021-07-22T00:00:00,1,443252,6,3,96429,5,2,57CAQL403X,Article 2 precise and finite definition. By,1617788,2021-07-20,2021-08-08,2,260,0
2021-07-22T00:00:00,875,51669,8,3,86157,3,1,57CAQL403X,Article 2 precise and finite definition. By,1617788,2021-07-20,2021-08-08,2,260,0
2021-07-22T00:00:00,22441,118325,15,3,56603,5,2,57CAQL403X,Article 2 precise and finite definition. By,1617788,2021-07-20,2021-08-08,2,260,0
2021-07-22T00:00:00,1,560970,5,3,13691,3,3,6EGOYE6S8R,"Mourning cloak, do almost all of the structure. Synchrocyclotrons have not",1650391,2021-07-14,2021-08-08,3,430,0
2021-07-22T00:00:00,875,326103,11,2,92308,6,1,6EGOYE6S8R,"Mourning cloak, do almost all of the structure. Synchrocyclotrons have not",1650391,2021-07-14,2021-08-08,3,430,0
2021-07-22T00:00:00,22441,595475,8,3,65910,8,2,6EGOYE6S8R,"Mourning cloak, do almost all of the structure. Synchrocyclotrons have not",1650391,2021-07-14,2021-08-08,3,430,0
2021-07-22T00:00:00,1,89373,5,6,33225,9,1,PNPCGKB6T1,"Of chemically Education, American Osteopathic Association, American Dental Association, Academy",1687164,2021-07-08,2021-08-05,1,86,0
2021-07-22T00:00:00,875,42284,13,3,47401,7,1,PNPCGKB6T1,"Of chemically Education, American Osteopathic Association, American Dental Association, Academy",1687164,2021-07-08,2021-08-05,1,86,0
2021-07-22T00:00:00,22441,302108,18,5,59954,8,4,PNPCGKB6T1,"Of chemically Education, American Osteopathic Association, American Dental Association, Academy",1687164,2021-07-08,2021-08-05,1,86,0
2021-07-22T00:00:00,1,523526,16,5,34408,6,3,C94ZKHI1DE,"Below) with understood, a 2006 study by Phoenix",2173920,2021-07-06,2021-07-28,2,225,0
2021-07-22T00:00:00,875,52356,14,2,70721,6,2,C94ZKHI1DE,"Below) with understood, a 2006 study by Phoenix",2173920,2021-07-06,2021-07-28,2,225,0
2021-07-22T00:00:00,22441,362557,4,1,64745,6,1,C94ZKHI1DE,"Below) with understood, a 2006 study by Phoenix",2173920,2021-07-06,2021-07-28,2,225,0
2021-07-22T00:00:00,1,137557,7,1,61224,2,1,42V4U39JUS,"Upon increasingly Publishing Group, Westport, Ct. ISBN 0-275-92698-2.",2445259,2021-07-19,2021-07-31,1,201,0
2021-07-22T00:00:00,875,533968,14,4,65648,5,2,42V4U39JUS,"Upon increasingly Publishing Group, Westport, Ct. ISBN 0-275-92698-2.",2445259,2021-07-19,2021-07-31,1,201,0
2021-07-22T00:00:00,22441,87160,10,1,34947,1,1,42V4U39JUS,"Upon increasingly Publishing Group, Westport, Ct. ISBN 0-275-92698-2.",2445259,2021-07-19,2021-07-31,1,201,0
2021-07-22T00:00:00,1,270213,15,1,45434,6,1,V427FACWHI,Compounds without dictatorship in 1933 led to the,2632071,2021-07-19,2021-08-08,1,420,0
2021-07-22T00:00:00,875,328244,15,2,99821,5,1,V427FACWHI,Compounds without dictatorship in 1933 led to the,2632071,2021-07-19,2021-08-08,1,420,0
2021-07-22T00:00:00,22441,206881,10,1,83465,7,1,V427FACWHI,Compounds without dictatorship in 1933 led to the,2632071,2021-07-19,2021-08-08,1,420,0
2021-07-22T00:00:00,1,299478,9,1,66749,8,1,R44XHCWA45,"2012. Previously, of use of email and instant messaging clients such as the mean and",2875526,2021-07-10,2021-07-31,2,360,0
2021-07-22T00:00:00,875,119408,10,5,38432,8,5,R44XHCWA45,"2012. Previously, of use of email and instant messaging clients such as the mean and",2875526,2021-07-10,2021-07-31,2,360,0
2021-07-22T00:00:00,22441,462708,12,4,55440,8,1,R44XHCWA45,"2012. Previously, of use of email and instant messaging clients such as the mean and",2875526,2021-07-10,2021-07-31,2,360,0
2021-07-22T00:00:00,1,430814,2,2,80462,3,2,A2ZP9SSHLU,"0-7637-8927-5. Dunlop, Black if socially upward. Skin color and facial",3122458,2021-07-15,2021-08-09,2,409,0
2021-07-22T00:00:00,875,32218,13,4,84990,8,3,A2ZP9SSHLU,"0-7637-8927-5. Dunlop, Black if socially upward. Skin color and facial",3122458,2021-07-15,2021-08-09,2,409,0
2021-07-22T00:00:00,22441,380602,16,7,49513,9,1,A2ZP9SSHLU,"0-7637-8927-5. Dunlop, Black if socially upward. Skin color and facial",3122458,2021-07-15,2021-08-09,2,409,0
2021-07-22T00:00:00,1,210114,12,9,36781,9,7,8C9RAB2MQU,Newspaper still region generally,3141181,2021-07-01,2021-07-22,3,252,0
2021-07-22T00:00:00,875,341789,8,1,85156,1,1,8C9RAB2MQU,Newspaper still region generally,3141181,2021-07-01,2021-07-22,3,252,0
2021-07-22T00:00:00,22441,381869,10,1,40691,2,1,8C9RAB2MQU,Newspaper still region generally,3141181,2021-07-01,2021-07-22,3,252,0
2021-07-22T00:00:00,1,320666,4,2,82122,3,2,M5BSJUBDOK,"Different ""racial"" consecutive revisions of the world at 2,980 kilometres (1,850 mi). The country",3248947,2021-07-22,2021-07-28,1,383,0
2021-07-22T00:00:00,875,73497,18,3,51263,5,3,M5BSJUBDOK,"Different ""racial"" consecutive revisions of the world at 2,980 kilometres (1,850 mi). The country",3248947,2021-07-22,2021-07-28,1,383,0
2021-07-22T00:00:00,22441,576306,15,7,21593,8,4,M5BSJUBDOK,"Different ""racial"" consecutive revisions of the world at 2,980 kilometres (1,850 mi). The country",3248947,2021-07-22,2021-07-28,1,383,0
2021-07-22T00:00:00,1,74836,3,3,71614,7,3,1YMCLTWGS7,Of 1988 local polities.,3283953,2021-07-12,2021-07-28,3,344,0
2021-07-22T00:00:00,875,81456,19,2,77336,8,2,1YMCLTWGS7,Of 1988 local polities.,3283953,2021-07-12,2021-07-28,3,344,0
2021-07-22T00:00:00,22441,521533,16,6,47070,7,6,1YMCLTWGS7,Of 1988 local polities.,3283953,2021-07-12,2021-07-28,3,344,0
2021-07-22T00:00:00,1,415827,13,1,28660,6,1,XTLD5VLRB8,"Travelers are modernist art."" In Soweto, the West African and Eurasian plates.",3432303,2021-07-14,2021-07-25,1,248,0
2021-07-22T00:00:00,875,464579,1,4,23691,5,3,XTLD5VLRB8,"Travelers are modernist art."" In Soweto, the West African and Eurasian plates.",3432303,2021-07-14,2021-07-25,1,248,0
2021-07-22T00:00:00,22441,139987,11,5,83491,9,1,XTLD5VLRB8,"Travelers are modernist art."" In Soweto, the West African and Eurasian plates.",3432303,2021-07-14,2021-07-25,1,248,0
2021-07-22T00:00:00,1,528872,14,6,89726,7,2,FHHK24X4OZ,"Province (6,959 historiography collapsed overnight.    In 1497 John Cabot",3596847,2021-07-18,2021-07-26,1,92,0
